ASV,size,cutoff,phylum_name,class_name,order_name,family_name,genus_name,species_name,phylum_score,class_score,order_score,family_score,genus_score,species_score
uniq146723,16,+,Streptophyta,NA,Boraginales,Heliotropiaceae,Heliotropium,NA,1,0.97,0.76,0.51,0.38,0.17
uniq147228,16,+,Streptophyta,NA,Fabales,Fabaceae,Fossombronia,Fossombronia wattsii,0.93,0.52,0.12,0.12,0.05,0.03
uniq146707,16,+,Streptophyta,NA,Solanales,Solanaceae,Solanum,Solanum abutiloides,1,0.95,0.94,0.94,0.68,0.11
uniq146634,16,+,Streptophyta,NA,Lamiales,Bignoniaceae,Bignonia,Bignonia binata,1,0.96,0.88,0.71,0.31,0.3
uniq146799,16,+,Streptophyta,NA,Myrtales,Combretaceae,Terminalia,Terminalia buceras,1,1,0.98,0.98,0.96,0.67
uniq146968,16,+,Streptophyta,NA,Malpighiales,Phyllanthaceae,NA,NA,1,0.94,0.66,0.63,0.38,0.38
uniq146828,16,+,Streptophyta,NA,Fabales,Fabaceae,Zollernia,Zollernia ilicifolia,1,1,1,1,0.83,0.61
uniq147101,16,+,Streptophyta,NA,Marchantiales,Ricciaceae,Riccia,Riccia huebeneriana,0.95,0.32,0.12,0.12,0.1,0.1
uniq147185,16,+,Streptophyta,NA,Myrtales,Onagraceae,Lopezia,Lopezia racemosa,1,1,1,1,0.95,0.93
uniq147108,16,+,Streptophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Symbiochloris tschermakiae,0.55,0.37,0.28,0.28,0.24,0.09
